Green Chemistry;"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07D;B01J;C07C;C08F;C08G;A61K;C12N;C12P;C08L;C01B;A61P;B01D;C08J;A61L;H01M;G01N;A01N;C07K;C09J;C09K;C02F;C08K;C25B;C07F;C10G;A61F;B82Y;C01G;C07H;C10L;A01P;A23B;A23L;A61B;A61M;C01C;C09D;C10M;C12R;D21C;H01L;A21D;A43B;A61N;A61Q;B09B;B24B;B27N;B30B;C05B;
Nomero;51;35;35;31;24;22;16;16;14;13;11;11;11;9;9;8;7;7;7;7;6;6;6;5;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07C;C07D;B01J;A61K;C07F;A61P;C08G;C12N;C12P;B01D;C08L;C01B;C02F;C07K;C08J;C08K;H01M;A01N;A61L;C12Q;C07B;C08B;C08F;B82Y;C01G;C22B;D01D;H01G;A61F;B82B;C07H;C09K;C25B;D01F;G01N;A01H;A24B;A61M;A61Q;B01F;B24B;B29D;B32B;B60C;C01F;C04B;C07G;C08C;C08H;C09D;
Nomero;44;37;30;22;16;13;12;12;11;8;8;7;7;7;7;6;6;5;5;5;4;4;4;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C07D;C07C;B01J;A61K;C12N;C08F;C08G;C12P;A61P;C07F;C07K;H01M;C02F;G01N;B01D;B82Y;C01B;A61L;C08L;C09D;C12Q;C01G;C07B;C09K;C22B;C25B;H01L;A61F;C04B;C08J;C10M;A01N;A23L;A61B;C08B;C09J;C10G;D01D;D01F;E21B;H02J;A01H;A23B;A45D;A61N;A61Q;B01F;B09B;B29B;B29C;
Nomero;32;29;26;18;16;13;12;12;8;8;8;8;7;7;6;6;6;5;5;5;5;4;4;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
