Green Chemistry,"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,B01J,A61K,C12P,C07D,C08G,C12N,C02F,C07F,C08F,G01N,B01D,C07B,A01N,A61P,B82Y,C01B,C07H,C08B,C08J,A61L,B05D,B29C,C04B,C08C,C09D,C09K,C10L,C11C,H01M,A01H,A01P,A61B,A61F,A61M,B29B,B32B,B82B,C01C,C01G,C08K,C08L,C09F,C12M,C12Q,C22B,C25C,E02B,G02B,H01B,
Número,23,13,10,10,9,6,6,5,5,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,A61K,B01J,C12P,B01D,C07H,C12N,G01N,H01M,B32B,C02F,D21C,A01N,A61P,B82Y,C01B,C01G,C07B,C07F,C08B,C08G,C13K,C23C,A01H,A61L,B05D,C07K,C08F,C08H,C08J,C12M,C12R,C22B,C25B,H01B,,,,,,,,,,,,,,,
Número,15,13,11,9,7,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,A61K,B01J,A61P,C08F,A01N,C07B,C12P,B82Y,C07H,C08K,C08L,C12N,A01P,B01D,C08G,C08J,C10L,A61F,A61L,B22F,C01B,C08B,C10B,G01N,A01H,A23L,A61Q,B01F,B29D,B32B,C01C,C01F,C01G,C02F,C04B,C07F,C07K,C08H,C09C,C09D,C10C,C10G,C23F,C25D,H01L,,,,
Número,24,20,14,14,7,7,6,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
