Green Chemistry,"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H02J,H01M,H01L,C12P,C25B,B01J,H02M,B01D,C12N,H01G,C01B,F03D,F25B,G05B,C10L,F24J,C02F,F24F,G06Q,C07C,C12M,F03B,G01R,B82Y,C10G,F24D,G06F,H02K,H02S,B60L,C01G,G05F,C07D,F28D,G01N,H01F,C08H,C10J,C13K,C23C,F01K,A01G,A61B,B05D,B63B,C07F,C11C,D21C,F02C,F24S, 
Número,74,48,39,35,34,30,30,29,21,19,18,18,16,16,15,15,14,13,13,12,12,12,12,10,10,10,10,9,9,8,8,8,7,7,7,7,5,5,5,5,5,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H01L,F03B,H01M,C12P,B01J,H02J,C12N,C25B,C10L,C01B,F03D,B01D,C07D,G06Q,H01G,H02M,C07C,F24F,F25B,H02S,C02F,C10G,G05B,C11C,B82Y,C12M,C13K,G01R,G05F,F24J,F28D,H02K,B63B,C09K,C25D,F24D,G01N,G05D,G06F,A01H,A01K,B22F,C01G,C04B,C07K,G02B,G06N,H02P,A23K,A61K, 
Número,46,36,36,35,32,31,30,23,19,18,17,16,15,15,15,13,11,11,11,10,9,9,9,8,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H01L,C12P,H01M,H02J,B01J,C10L,C01B,B01D,C12N,C07C,C10G,F03B,C25B,H02M,B82Y,F03D,F24J,C07D,G06Q,C12M,C11C,C08G,G06F,C02F,G01N,G02B,G05B,H01B,H01G,F01K,F24D,G05D,A61K,C08H,C09K,C11B,C12R,F24F,G01P,G01S,G05F,H01F,H02S,H04W,A23L,A61M,C01G,C07F,C12Q,C13K, 
Número,57,37,31,28,23,21,20,18,18,17,17,17,14,13,12,11,11,10,10,9,8,7,7,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H01L,C12P,H02J,C12N,H01M,B82Y,B01J,C01B,B01D,C12M,C25B,F03D,H02M,C02F,C07C,C10G,H01G,F24J,G06F,C10L,G05F,B09B,B82B,C05F,C09K,G01N,G06Q,H01B,B63B,C07H,C07K,C08H,F02C,F03B,G01R,G02B,B60L,C08B,C08L,C11B,F01K,F03G,B09C,C01G,C07D,C07G,C08G,C08K,C09J,C11C, 
Número,69,41,30,29,29,23,21,21,14,14,14,13,12,11,11,11,11,9,9,8,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H01L,C12P,H01M,H02J,C02F,C10L,C12N,B01J,H02M,F03B,C01B,C07F,C10G,C12M,B01D,C25B,C23C,H02K,F24J,H01G,H02P,B82Y,C01G,C07C,F03D,F25B,G06F,A01H,C07H,C08G,C11B,F24D,B09B,C07K,C09D,C12R,E02B,F01K,F03G,F24F,F28D,G01R,G05F,H01Q,H02N,A01G,B05D,B29C,B32B,B60L, 
Número,45,23,23,23,17,16,16,14,13,11,10,10,10,10,9,9,8,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H01L,C12P,C12N,H02J,C10L,C02F,H01M,B01D,B01J,C07C,H02M,C12M,C01B,B60L,C10G,F03B,F03D,F25B,C12R,A01H,B82Y,C10B,H01B,H01G,H02N,C07K,C08B,C08G,C23C,C25B,G06Q,H02P,B05D,B09B,C05F,C07D,C09K,C10J,F01N,F03G,G05F,G06F,B03C,B32B,B64C,B82B,C01C,C07F,C08F,C08L, 
Número,53,43,42,29,21,20,20,15,15,14,14,11,9,8,8,8,8,8,6,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12P,H01L,C12N,C01B,H01M,C02F,C10L,H02J,F03D,C12M,F03B,H02K,A01H,B01D,C10G,F24J,F03G,B01J,F16F,G02B,H02M,C07C,F24F,B32B,C07H,C12R,C23C,F25B,H01G,B60K,B82B,C07D,C07K,C08G,C09D,C09K,C10B,F25D,G01N,G21B,B05D,C07F,C10J,C11B,C12Q,C25B,C30B,D01F,E02B,F01K, 
Número,39,39,29,23,18,13,13,12,11,10,10,10,9,8,8,8,7,6,6,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H01L,C12P,C12N,C10L,C12M,C10G,F03B,H02J,H01M,B01J,C01B,C02F,F01K,A01H,B01D,C07K,H02M,H02N,C07H,F03G,B05D,B32B,B60L,C07C,C07F,C12F,C13K,C25B,F24D,F24J,H01B,H01G,H05B,B60K,C07D,C08L,C12Q,C12R,C23C,F02C,G01N,G02B,H01P,A01K,A61L,B09B,B23K,B41C,B41M,B60D, 
Número,28,26,24,12,9,8,8,8,7,6,6,6,6,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12P,C12N,H01L,C10G,A01H,B01D,C12M,F03D,F03B,H02J,B01J,C01B,C07K,H01M,A23K,A61K,C02F,C07C,C07H,C10L,C25B,F24J,F25B,G05B,C08B,C09D,C10B,C12Q,C13K,C23C,C40B,F03G,G02B,H02K,A01C,A01G,A23L,A61L,B02B,B03C,B22F,B32B,B63B,B64C,B82B,B82Y,C01C,C01F,C05F,C07D, 
Número,28,26,25,15,9,9,8,7,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H01L,C12N,C12P,C01B,B01D,C09K,F03D,H01M,A01H,F03B,H02M,C02F,C10L,C12M,G05F,H03F,A23K,B01J,C07C,C07D,C13K,F24F,F24J,F25B,F25D,G01N,G02B,G05B,G06F,H02J,H02K,A61M,B05B,B05D,B09B,B09C,B32B,B64C,B65D,C01C,C05F,C07H,C07K,C08B,C09D,C10B,C11B,C12Q,C25B,E21B, 
Número,29,15,9,7,5,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H01L,C12P,C02F,C12N,C01B,H01M,B01D,C07C,C10G,A01H,B81B,B81C,F24J,H01Q,A01C,B01J,B27N,B64C,C07H,C07K,C08B,C08K,C08L,C10J,C10L,C11C,C22B,C22C,C23C,C25B,D21C,F03B,F03C,F15D,F25B,G01N,G06F, ,,,,,,,,,,,,,
Número,18,8,7,7,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H01L,C12P,C01B,H02J,H02M,B01J,C02F,C09K,C12N,C12S,G01N,H01M,A01H,B63H,B64B,C01F,C05F,C07H,C10L,C12M,C22F,C23C,C25B,D21C,D21H,E02B,F01B,F01K,F02B,F03B,F03D,G01D,G01R,G01S,G05F,G06F,H01G, ,,,,,,,,,,,,,
Número,9,6,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12P,B01D,C02F,D21C,A61L,C05F,C07H,C12N,D21H,H01L,H01M,A01H,A61F,B01F,B09B,B32B,C07K,C12S,C23C,C25B,C25D,E04B,F28D,G01R, ,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,5,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C01B,C12N,C12Q,H01L,B01J,C07H,C07K,C12P,G01N,A61L,B09B,C10L,D21C,F24S,H02J,A01H,B02C,B32B,C07R,C23C,E04C,F03B,F03D,F16D,F24J,F28C,H01G,H01M,H02M, ,,,,,,,,,,,,,,,,,,,,,
Número,6,6,4,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C01B,C12N,H01M,B01D,A41D,A61L,C12P,F02B,F02G,G01S,H02J,A01H,B01J,B09B,C02F,C07H,D21B,D21C,E03B,F02D,G01N, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,4,4,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, A61L,C12N,A23K,B01D,C07C,C07D,C07H,C09B,C10G,C10L,C12P,C12R,C13K,D01H,D21B,F24S,G03G,H01L, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,A01H,B01J,B01D,C01B,C07D,C07K,C09B,C09K,C10G,C10L,C13K,C23C,F01K,F02C,F04F,F25B,G03G,H01L, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,9,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C10G,C12N,F03B,A23K,B01D,B01J,C02F,C07C,C13K,H02J,H02M, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biofuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,C07K,A61K,B01J,H01M,C07C,C12R,C02F,C10L,C12Q,G01N,B01D,A01N,C10G,C08L,A01G,A23K,A61P,B01L,C08H,C12M,A61B,C01B,C07D,C07H,D21C,A01H,A23C,B09C,C07F,C08F,C10B,C11B,C11C,C25B,C40B,G06F,A23L,A61L,B82Y,C05F,C07G,C08B,C08G,C08J,C10J,C10K,C13K,D21H, 
Número,103,50,19,14,13,13,12,12,11,11,10,10,8,7,7,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,C07K,G01N,B01J,C10G,C07C,C10L,C12R,H01M,A01H,C12Q,A61K,C07D,C12M,B01D,C02F,A61B,A61P,C01B,C07H,C08L,C10B,C11C,C40B,A01G,A01N,B01L,B82Y,C08B,C08F,C09D,C10M,A23K,A23L,A61L,C07B,C07G,C11B,C25B,G06F,G06T,B08B,B32B,C04B,C09J,C09K,C12C,C12G,C13K, 
Número,124,66,27,20,18,14,13,12,12,12,11,11,10,10,10,9,7,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,C07K,A01H,C12Q,B01J,C12M,G01N,H01M,A61K,B01D,C12R,C10G,C07C,C10L,A01N,C02F,B01L,A61L,C08B,C08L,C11B,A01G,A23K,A23L,B05D,C07D,C07H,C08G,C08H,C09D,C25B,A01K,C08F,C10J,A61B,B03C,B09B,B67D,B82Y,C01B,C07F,C07G,C08K,C10K,C11C,C13K,G02B,G06F,G06M, 
Número,126,65,33,17,17,15,15,15,15,12,12,11,10,9,8,7,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,C07K,C10L,B01J,G01N,A61K,C10G,A01H,C12Q,C12M,C12R,H01M,B01D,C07C,C07D,A01N,C02F,A23K,C01B,A23L,B01L,C07H,C11C,C13K,A61B,B82Y,C08H,C08L,D06M,D21C,A21D,A61L,A61N,C08B,C08J,C23C,C25B,C40B,A01G,A61P,B09B,B09C,C01F,C01G,C07F,C07G,C08K,C10B,C11B, 
Número,146,94,30,26,20,20,17,17,16,16,15,14,12,11,11,11,9,9,8,7,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,C07K,C10L,A01H,B01J,C07C,C10G,G01N,C12R,C12Q,A61K,C12M,C07D,B01D,C02F,C11B,C11C,A23K,A01N,A23L,C08L,C13K,C01B,C07H,H01M,C05F,C08H,B08B,C07G,C08F,C09D,A01B,A21D,A61L,B05D,B09C,C08G,C09K,C11D,C25B,C40B,D21C,A23B,A61B,A61F,A61N,B09B,B82Y,C08B, 
Número,163,100,31,26,17,16,15,15,15,14,13,12,12,11,9,9,9,9,8,7,7,7,7,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,C10L,C07K,A01H,G01N,C07C,C10G,C12Q,B01J,C07D,C11C,C12M,C12R,C02F,C07H,H01M,A01N,A23L,C08H,C13K,D21C,A23K,A61K,B01D,B82Y,C01B,C11B,A01G,C08B,H01L,A21D,A62D,B09B,C05F,C07G,C08F,D06M,G06F,H01B,B05D,B82B,C08G,C08J,C08L,C40B,D06P,D21B,D21H,F01K, 
Número,164,126,32,30,27,17,16,15,14,13,13,13,13,13,10,10,10,9,8,7,7,7,6,6,6,6,6,6,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,C07K,C10L,C10G,A01H,C07C,C12M,H01M,C12R,C07H,B01D,C12Q,G01N,B01J,C08H,A01N,A23K,A61K,B09B,C11C,A01G,C02F,C08B,C11B,C13K,B82Y,C08L,D21C,F24J,C01B,C07G,C08G,C10B,A01P,C05F,D21B,G06F,H01B,A21D,A23L,B09C,C10J,C21C,D21H,E03F,E21B,F01K,F02C,F03G, 
Número,140,111,33,28,24,22,18,18,18,12,11,10,10,10,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C12N,C12P,A01H,C07K,C10L,C12M,C12R,C07H,C10G,C07C,C12Q,H01M,G01N,C02F,C07D,B01D,C11B,B01J,A61K,B82Y,C08G,C08H,C08L,A23D,A23K,C10B,C11C,C13K,H02J,H02M,A01G,A01N,A23L,B09B,C13B,C40B,D21C,E03F,F03G,H01L,A01D,A01J,A23B,A23C,A23J,A24B,A47J,A61F,A61P,B02C,
Número,102,83,27,22,20,16,16,15,11,10,10,10,8,7,7,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,C10L,A01H,H01M,C07K,C12R,B01J,C07C,C02F,C12M,C12Q,B01D,C10G,C07H,A61K,A23K,C07D,C11B,A01N,C01B,C05F,C10B,A23L,A01G,A23D,C10J,D21C,G01N,A01K,A01P,A61P,B09B,C08B,C08L,C11C,C12S,C13K,C40B,D21D,F28C,G01G,H01G,A23G,A61J,A61L,B09C,B23K,B27N,B65G, 
Número,132,95,30,29,27,22,22,19,18,17,16,16,14,13,11,10,7,7,7,6,6,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,A01H,C10L,H01M,C10G,C12M,C07H,C07K,C12R,C02F,C12Q,B01J,C11B,A61K,B01D,C07C,C10B,G01N,C07D,C10J,C11C,H01L,A01G,A23K,A61N,B01F,B32B,C01B,C05F,C08B,C09K,C25B,F24J,F25B,A01N,A61B,A61F,A62D,B29C,B60W,B82B,B82Y,C07F,C08H,C08J,C10C,C10M,C10N,C12S, 
Número,100,73,29,22,20,15,15,12,12,10,9,8,6,6,5,5,5,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,C10L,A01H,C10G,C07C,C07K,H01M,C11C,A61K,C13K,C07H,C12M,C12Q,C11B,C12R,G01N,A01N,C01B,C07D,C08B,B01J,B01D,B82B,C12F,A01K,A01P,A23L,A61B,A61N,A61P,B32B,B82Y,C02F,C05F,C11D,D21C,F28D,A21D,A23K,A24F,A61F,A61L,A62D,B05D,B22F,B29C,C01F,C04B,C07B, 
Número,76,60,32,17,14,13,13,13,11,10,10,9,9,9,8,7,7,6,6,6,6,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,C12P,C10L,A01H,C10G,C12M,C07K,C11C,H01M,C07H,D21C,C01B,C07C,C11B,C12Q,F23D,A61K,B82B,C08G,C13K,A23K,A61L,B01D,B01J,C02F,C08B,C08F,C08J,C08L,C10B,C10J,C12R,C23C,F02D,F02M,G01N,G03G,H01G,H01L, ,,,,,,,,,,,
Número,52,32,22,14,11,11,10,8,7,5,5,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C12N,H01M,C12P,A01H,C12M,A61K,C07K,C09K,A23K,C12Q,C25B,A61B,A61F,A61L,A61N,A61P,B32B,C01B,C07D,C08B,C08K,C08L,C10G,C10L,C11B,C13K,C25C,G01N,H01B, ,,,,,,,,,,,,,,,,,,,,,
Número,25,18,15,7,5,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H01M,C12N,C12P,C07C,B01D,C10L,A01N,B01J,C08J,C10G,C12Q,C25B,G01N,A01H,C07D,C07H,C07K,C11B,F23D,H01B,H01L, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,15,8,7,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H01M,C12Q,C04B,C12N,D02G,B01D,C01F,C01G,C02F,C12P,C25B,H01L,H05B,A01G,A01H,B82Y,G01N, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,14,4,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H01M,C12Q,C10G,C10L,C12N,B01J,G01N,H05B,A61B,B09B,C07C,C12P,C25B,C25C, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,10,6,4,4,4,3,3,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, H01M,C12Q,G01N,B01J,C01G,C12M,A61B,B01D,C01F,C04B,C07B,C10L,C23F,C25B,F23K, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,6,5,3,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, C25B,H01M,B01D,B01J,C07B,C12N,C12M,C12P,C12Q,C25C, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,3,3,2,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
